variant,mode,seed,generation,best_wsmse,mean_wsmse,best_f_wsmse
wbeif,wbeif,0,0,367.4422130953537,692.7025817917312,0.0027215163755300227
wbeif,wbeif,0,1,192.25069362952587,417.79415245047494,0.005201541701207234
wbeif,wbeif,0,2,192.25069362952587,315.1823669159323,0.005201541701207234
wbeif,wbeif,0,3,192.25069362952587,282.80722612666597,0.005201541701207234
wbeif,wbeif,1,0,273.3281823814466,628.1887841877865,0.0036586055315892515
wbeif,wbeif,1,1,273.3281823814466,412.75585852288395,0.0036586055315892515
wbeif,wbeif,1,2,273.3281823814466,318.5171705543793,0.0036586055315892515
wbeif,wbeif,1,3,247.31488110253744,298.62837987483323,0.004043428343421814
femeif_light,femeif,0,0,367.4422130953537,692.7025817917312,0.0027215163755300227
femeif_light,femeif,0,1,192.25069362952587,484.9692702432992,0.005201541701207234
femeif_light,femeif,0,2,192.25069362952587,395.3916555378543,0.005201541701207234
femeif_light,femeif,0,3,192.25069362952587,312.3924066211645,0.005201541701207234
femeif_light,femeif,1,0,273.3281823814466,628.1887841877865,0.0036586055315892515
femeif_light,femeif,1,1,273.3281823814466,450.67598778164046,0.0036586055315892515
femeif_light,femeif,1,2,260.7154973663653,371.23535954430787,0.003835598612669986
femeif_light,femeif,1,3,240.90283255620113,338.65301873161144,0.004151051232520075
femeif_all,femeif,0,0,367.4422130953537,692.7025817917312,0.0027215163755300227
femeif_all,femeif,0,1,192.25069362952587,471.4704611100297,0.005201541701207234
femeif_all,femeif,0,2,192.25069362952587,423.26894476109965,0.005201541701207234
femeif_all,femeif,0,3,192.25069362952587,391.77464931573536,0.005201541701207234
femeif_all,femeif,1,0,273.3281823814466,628.1887841877865,0.0036586055315892515
femeif_all,femeif,1,1,273.3281823814466,525.6994910165889,0.0036586055315892515
femeif_all,femeif,1,2,260.7154973663653,351.4025837613239,0.003835598612669986
femeif_all,femeif,1,3,221.20648874987884,326.5198692199311,0.004520663049494489
